id,id_words,short_desc,long_desc,room_desc,gettable,room_id,state,light_turns,finding_bonus,deposit_bonus,deposit_room,unborn
1,"keys,key",set of keys,,There are some keys on the ground here.,TRUE,3,0,0
2,"lamp,headlamp,headl,lantern,lante",brass lantern,,THERE IS A SHINY BRASS LAMP NEARBY.|THERE IS A LAMP SHINING NEARBY.,TRUE,3,0,330
3,grate,grate,,THE GRATE IS LOCKED.|THE GRATE IS OPEN.,FALSE,8,0,0
1003,grate,grate,,THE GRATE IS LOCKED.|THE GRATE IS OPEN.,FALSE,9,0,0
4,cage,wicker cage,,THERE IS A SMALL WICKER CAGE DISCARDED NEARBY.,TRUE,10,,0
5,rod1,black rod with a rusty star,,A THREE FOOT BLACK ROD WITH A RUSTY STAR ON AN END LIES NEARBY.,TRUE,11,,0
8,bird,little bird in cage,,A CHEERFUL LITTLE BIRD IS SITTING HERE SINGING.|THERE IS A LITTLE BIRD IN THE CAGE.,FALSE,13,,0
9,snake,snake,,A HUGE GREEN FIERCE SNAKE BARS THE WAY!,FALSE,19,,0
6,rod2,black rod with a rusty mark,,A THREE FOOT BLACK ROD WITH A RUSTY MARK ON AN END LIES NEARBY.,TRUE,9,,0
10,"pillow,velvet",velvet pillow,,A SMALL VELVET PILLOW LIES ON THE FLOOR.,TRUE,96,0,0
58,"vase,ming,shard,shards,pottery",ming vase,,THERE IS A DELICATE PRECIOUS MING VASE HERE!|THE VASE IS NOW RESTING DELICATELY ON A VELVET PILLOW.|THE FLOOR IS LITTERED WITH WORTHLESS SHARDS OF POTTERY.,TRUE,97,0,0,2,14
20,bottle,small bottle,,THERE IS A BOTTLE OF WATER HERE.|THERE IS AN EMPTY BOTTLE HERE.|THERE IS A BOTTLE OF OIL HERE.,TRUE,3,0,0
9,door,rusty iron door,,THE WAY NORTH IS BARRED BY A MASSIVE RUSTY IRON DOOR.|THE WAY NORTH LEADS THROUGH A MASSIVE RUSTY IRON DOOR.,FALSE,94,0,0
1024,oil,small pool of oil,,A SMALL POOL OF OIL IN ONE CORNER OF THE PIT.,FALSE,25,0,0
7,steps,stone steps,,ROUGH STONE STEPS LEAD DOWN THE PIT.,FALSE,14,0,0
1007,steps,stone steps,,ROUGH STONE STEPS LEAD UP THE DOME.,FALSE,15,0,0
12,fissure,fissure,,|A CRYSTAL BRIDGE NOW SPANS THE FISSURE.,FALSE,17,0,0
1012,fissure,fissure,,|A CRYSTAL BRIDGE NOW SPANS THE FISSURE.,FALSE,27,0,0
13,tablet,stone tablet,,"A MASSIVE STONE TABLET IMBEDDED IN THE WALL READS: \n""{^}CONGRATULATIONS ON BRINGING LIGHT INTO THE DARK-ROOM!{/^}""",FALSE,101,0,0
17,"trident,tride",jeweled trident,,THERE IS A JEWEL-ENCRUSTED TRIDENT HERE!,TRUE,106,0,0,2,14,,
16,"magazine,magaz,issue,spelu",spelunker today,,THERE ARE A FEW RECENT ISSUES OF "SPELUNKER TODAY" MAGAZINE HERE.,TRUE,106,0,0,,,1,108
14,"clam",giant clam,,THERE IS AN ENORMOUS CLAM HERE WITH ITS SHELL TIGHTLY CLOSED.,TRUE,103,0,0,,,,
15,"oyster",giant oyster,,THERE IS AN ENORMOUS OYSTER HERE WITH ITS SHELL TIGHTLY CLOSED.,TRUE,0,0,0,,,,TRUE
61,"pearl",glistening pearl,,OFF TO ONE SIDE LIES A GLISTENING PEARL!,TRUE,0,0,0,2,10,,TRUE
